ProductID,InvoiceDate,Sum of Quantity
P0005,2024-11-30 00:00:00,7
P0005,2024-12-10 00:00:00,7
P0005,2024-12-18 00:00:00,15
P0005,2025-01-22 00:00:00,23
P0005,2025-01-24 00:00:00,4
P0005,2025-02-02 00:00:00,2
P0005,2025-02-20 00:00:00,4
P0005,2025-03-16 00:00:00,15
P0005,2025-03-22 00:00:00,4
P0005,2025-04-05 00:00:00,30
P0005,2025-05-13 00:00:00,6
P0005,2025-06-07 00:00:00,12
P0005,2025-06-26 00:00:00,17
P0005,2025-07-07 00:00:00,1
P0005,2025-08-15 00:00:00,18
P0005,2025-09-16 00:00:00,9
P0005,2025-10-07 00:00:00,4
P0005,2025-10-09 00:00:00,6
P0005,2025-11-09 00:00:00,6
P0005,2025-12-08 00:00:00,8
P0005,2026-01-19 00:00:00,11
P0005,2026-02-01 00:00:00,24
P0006,2024-04-03 00:00:00,16
P0006,2024-05-01 00:00:00,5
P0006,2024-06-18 00:00:00,1
P0006,2024-08-04 00:00:00,21
P0006,2024-08-15 00:00:00,7
P0006,2024-09-01 00:00:00,9
P0006,2024-09-04 00:00:00,3
P0006,2024-09-08 00:00:00,1
P0006,2024-09-28 00:00:00,4
P0006,2024-10-17 00:00:00,5
P0006,2024-11-05 00:00:00,1
P0006,2024-11-07 00:00:00,10
P0006,2024-11-15 00:00:00,5
P0006,2024-11-21 00:00:00,3
P0006,2024-11-22 00:00:00,9
P0006,2024-11-28 00:00:00,9
P0006,2024-12-02 00:00:00,9
P0006,2024-12-06 00:00:00,9
P0006,2024-12-07 00:00:00,17
P0006,2024-12-15 00:00:00,8
P0006,2024-12-22 00:00:00,4
P0006,2024-12-25 00:00:00,1
P0006,2024-12-31 00:00:00,9
P0006,2025-01-02 00:00:00,7
P0006,2025-03-20 00:00:00,1
P0006,2025-04-06 00:00:00,1
P0006,2025-05-03 00:00:00,5
P0006,2025-05-25 00:00:00,12
P0006,2025-07-03 00:00:00,4
P0006,2025-08-23 00:00:00,16
P0006,2025-08-27 00:00:00,8
P0006,2025-09-03 00:00:00,3
P0006,2025-09-16 00:00:00,18
P0006,2025-09-23 00:00:00,7
P0006,2025-09-26 00:00:00,2
P0006,2025-11-15 00:00:00,6
P0006,2025-11-22 00:00:00,15
P0006,2025-11-25 00:00:00,7
P0006,2025-11-29 00:00:00,5
P0006,2025-12-20 00:00:00,1
P0006,2025-12-22 00:00:00,6
P0006,2025-12-27 00:00:00,5
P0006,2025-12-28 00:00:00,2
P0006,2025-12-30 00:00:00,8
P0006,2026-01-11 00:00:00,5
P0006,2026-01-16 00:00:00,4
P0006,2026-01-27 00:00:00,9
P0006,2026-02-15 00:00:00,2
P0007,2024-04-20 00:00:00,13
P0007,2024-05-05 00:00:00,43
P0007,2024-07-02 00:00:00,9
P0007,2024-11-03 00:00:00,5
P0007,2024-11-13 00:00:00,72
P0007,2024-11-18 00:00:00,18
P0007,2024-11-21 00:00:00,2
P0007,2024-12-06 00:00:00,30
P0007,2024-12-12 00:00:00,16
P0007,2024-12-15 00:00:00,30
P0007,2024-12-27 00:00:00,6
P0007,2024-12-31 00:00:00,21
P0007,2025-01-01 00:00:00,4
P0007,2025-01-07 00:00:00,32
P0007,2025-01-11 00:00:00,15
P0007,2025-04-29 00:00:00,32
P0007,2025-05-30 00:00:00,5
P0007,2025-06-11 00:00:00,31
P0007,2025-07-05 00:00:00,36
P0007,2025-08-01 00:00:00,25
P0007,2025-08-04 00:00:00,21
P0007,2025-09-24 00:00:00,11
P0007,2025-10-21 00:00:00,18
P0007,2025-11-01 00:00:00,15
P0007,2025-11-10 00:00:00,17
P0007,2025-11-19 00:00:00,12
P0007,2025-11-29 00:00:00,16
P0007,2025-12-01 00:00:00,17
P0007,2025-12-16 00:00:00,8
P0007,2025-12-23 00:00:00,10
P0007,2025-12-24 00:00:00,12
P0007,2026-01-11 00:00:00,32
P0007,2026-03-28 00:00:00,13
P0008,2024-04-14 00:00:00,2
P0008,2024-06-18 00:00:00,2
P0008,2024-09-11 00:00:00,5
P0008,2024-11-05 00:00:00,1
P0008,2025-06-01 00:00:00,2
P0008,2025-07-10 00:00:00,1
P0008,2025-09-10 00:00:00,1
P0008,2025-10-01 00:00:00,1
P0008,2025-10-13 00:00:00,1
P0008,2025-12-23 00:00:00,1
P0008,2026-01-31 00:00:00,2
P0009,2024-04-13 00:00:00,4
P0009,2024-04-19 00:00:00,1
P0009,2024-04-27 00:00:00,2
P0009,2024-06-12 00:00:00,4
P0009,2024-06-22 00:00:00,1
P0009,2024-07-03 00:00:00,4
P0009,2024-07-18 00:00:00,1
P0009,2024-08-14 00:00:00,3
P0009,2024-09-06 00:00:00,1
P0009,2024-10-04 00:00:00,2
P0009,2024-11-09 00:00:00,1
P0009,2024-11-22 00:00:00,2
P0009,2024-12-25 00:00:00,1
P0009,2024-12-26 00:00:00,6
P0009,2025-01-23 00:00:00,7
P0009,2025-01-27 00:00:00,3
P0009,2025-02-08 00:00:00,3
P0009,2025-02-24 00:00:00,1
P0009,2025-02-26 00:00:00,2
P0009,2025-03-09 00:00:00,2
P0009,2025-04-18 00:00:00,3
P0009,2025-04-20 00:00:00,1
P0009,2025-05-04 00:00:00,3
P0009,2025-05-14 00:00:00,1
P0009,2025-06-26 00:00:00,2
P0009,2025-07-30 00:00:00,4
P0009,2025-08-10 00:00:00,4
P0009,2025-08-28 00:00:00,2
P0009,2025-09-05 00:00:00,2
P0009,2025-09-08 00:00:00,4
P0009,2025-09-13 00:00:00,1
P0009,2025-10-14 00:00:00,6
P0009,2025-11-13 00:00:00,3
P0009,2025-11-15 00:00:00,5
P0009,2025-12-04 00:00:00,1
P0009,2025-12-26 00:00:00,3
P0009,2026-01-05 00:00:00,2
P0009,2026-01-14 00:00:00,2
P0009,2026-02-08 00:00:00,2
P0009,2026-02-09 00:00:00,10
P0009,2026-03-02 00:00:00,8
P0009,2026-03-24 00:00:00,4
P0009,2026-03-29 00:00:00,5
P0010,2024-07-22 00:00:00,2
P0010,2024-10-23 00:00:00,3
P0010,2025-01-10 00:00:00,1
P0010,2025-10-29 00:00:00,2
P0010,2026-01-25 00:00:00,2
P0010,2026-03-19 00:00:00,1
P0011,2024-05-07 00:00:00,15
P0011,2024-05-18 00:00:00,5
P0011,2024-05-21 00:00:00,9
P0011,2024-05-22 00:00:00,5
P0011,2024-06-05 00:00:00,3
P0011,2024-06-08 00:00:00,12
P0011,2024-06-12 00:00:00,10
P0011,2024-06-26 00:00:00,8
P0011,2024-06-27 00:00:00,3
P0011,2024-07-09 00:00:00,19
P0011,2024-07-10 00:00:00,1
P0011,2024-08-25 00:00:00,3
P0011,2024-09-21 00:00:00,3
P0011,2024-10-06 00:00:00,10
P0011,2024-10-07 00:00:00,17
P0011,2024-10-20 00:00:00,4
P0011,2024-11-13 00:00:00,14
P0011,2024-11-26 00:00:00,5
P0011,2025-01-10 00:00:00,6
P0011,2025-05-09 00:00:00,19
P0011,2025-05-11 00:00:00,5
P0011,2025-06-02 00:00:00,5
P0011,2025-06-09 00:00:00,10
P0011,2025-06-24 00:00:00,19
P0011,2025-06-30 00:00:00,6
P0011,2025-07-03 00:00:00,12
P0011,2025-07-20 00:00:00,4
P0011,2025-08-20 00:00:00,7
P0011,2025-10-18 00:00:00,16
P0011,2025-10-21 00:00:00,12
P0011,2025-10-28 00:00:00,2
P0011,2025-10-30 00:00:00,19
P0011,2025-11-04 00:00:00,11
P0011,2025-11-15 00:00:00,2
P0011,2025-11-30 00:00:00,7
P0011,2026-01-17 00:00:00,5
P0011,2026-02-02 00:00:00,2
P0011,2026-03-13 00:00:00,21
P0012,2024-05-10 00:00:00,2
P0012,2024-06-04 00:00:00,3
P0012,2024-09-26 00:00:00,4
P0012,2025-01-15 00:00:00,1
P0012,2025-02-24 00:00:00,4
P0012,2025-03-06 00:00:00,1
P0012,2025-12-05 00:00:00,2
P0012,2026-02-18 00:00:00,1
P0013,2024-04-25 00:00:00,7
P0013,2024-04-26 00:00:00,2
P0013,2024-05-04 00:00:00,5
P0013,2024-05-07 00:00:00,13
P0013,2024-05-19 00:00:00,16
P0013,2024-05-23 00:00:00,2
P0013,2024-05-29 00:00:00,10
P0013,2024-06-01 00:00:00,14
P0013,2024-06-05 00:00:00,7
P0013,2024-06-08 00:00:00,6
P0013,2024-06-13 00:00:00,1
P0013,2024-06-18 00:00:00,6
P0013,2024-06-25 00:00:00,4
P0013,2024-06-27 00:00:00,8
P0013,2024-07-03 00:00:00,5
P0013,2024-07-06 00:00:00,1
P0013,2024-08-17 00:00:00,12
P0013,2024-08-27 00:00:00,1
P0013,2024-08-29 00:00:00,4
P0013,2024-08-30 00:00:00,13
P0013,2024-09-03 00:00:00,15
P0013,2024-09-06 00:00:00,3
P0013,2024-09-16 00:00:00,18
P0013,2024-09-19 00:00:00,20
P0013,2024-10-12 00:00:00,2
P0013,2024-10-21 00:00:00,2
P0013,2024-10-24 00:00:00,7
P0013,2024-10-30 00:00:00,4
P0013,2024-10-31 00:00:00,19
P0013,2024-11-06 00:00:00,2
P0013,2024-11-22 00:00:00,13
P0013,2024-11-23 00:00:00,8
P0013,2024-11-26 00:00:00,1
P0013,2024-12-06 00:00:00,8
P0013,2024-12-17 00:00:00,6
P0013,2024-12-27 00:00:00,5
P0013,2024-12-29 00:00:00,8
P0013,2024-12-31 00:00:00,8
P0013,2025-01-07 00:00:00,10
P0013,2025-01-10 00:00:00,10
P0013,2025-01-20 00:00:00,1
P0013,2025-01-25 00:00:00,4
P0013,2025-01-28 00:00:00,14
P0013,2025-01-30 00:00:00,13
P0013,2025-02-01 00:00:00,4
P0013,2025-02-05 00:00:00,1
P0013,2025-02-08 00:00:00,5
P0013,2025-02-10 00:00:00,2
P0013,2025-03-07 00:00:00,3
P0013,2025-03-12 00:00:00,12
P0013,2025-03-13 00:00:00,7
P0013,2025-03-17 00:00:00,2
P0013,2025-03-29 00:00:00,1
P0013,2025-03-30 00:00:00,3
P0013,2025-04-06 00:00:00,2
P0013,2025-04-08 00:00:00,10
P0013,2025-04-11 00:00:00,4
P0013,2025-04-13 00:00:00,6
P0013,2025-04-19 00:00:00,5
P0013,2025-05-06 00:00:00,4
P0013,2025-05-08 00:00:00,5
P0013,2025-05-12 00:00:00,8
P0013,2025-05-22 00:00:00,6
P0013,2025-05-28 00:00:00,8
P0013,2025-05-30 00:00:00,7
P0013,2025-06-02 00:00:00,8
P0013,2025-06-10 00:00:00,3
P0013,2025-06-22 00:00:00,8
P0013,2025-06-25 00:00:00,12
P0013,2025-06-30 00:00:00,8
P0013,2025-07-04 00:00:00,7
P0013,2025-07-07 00:00:00,2
P0013,2025-07-09 00:00:00,10
P0013,2025-08-02 00:00:00,6
P0013,2025-08-11 00:00:00,2
P0013,2025-08-12 00:00:00,2
P0013,2025-08-27 00:00:00,8
P0013,2025-09-03 00:00:00,6
P0013,2025-09-04 00:00:00,3
P0013,2025-09-15 00:00:00,10
P0013,2025-09-16 00:00:00,15
P0013,2025-09-17 00:00:00,1
P0013,2025-09-27 00:00:00,5
P0013,2025-10-10 00:00:00,4
P0013,2025-10-11 00:00:00,8
P0013,2025-10-19 00:00:00,2
P0013,2025-10-21 00:00:00,5
P0013,2025-10-30 00:00:00,13
P0013,2025-11-22 00:00:00,1
P0013,2025-11-29 00:00:00,8
P0013,2025-11-30 00:00:00,5
P0013,2025-12-02 00:00:00,5
P0013,2025-12-10 00:00:00,2
P0013,2025-12-18 00:00:00,5
P0013,2025-12-20 00:00:00,9
P0013,2025-12-21 00:00:00,15
P0013,2026-01-03 00:00:00,13
P0013,2026-01-05 00:00:00,8
P0013,2026-01-11 00:00:00,1
P0013,2026-01-13 00:00:00,7
P0013,2026-01-20 00:00:00,4
P0013,2026-02-03 00:00:00,3
P0013,2026-02-11 00:00:00,2
P0013,2026-02-16 00:00:00,5
P0013,2026-02-20 00:00:00,5
P0013,2026-02-26 00:00:00,1
P0013,2026-03-22 00:00:00,15
P0013,2026-03-23 00:00:00,15
P0014,2025-12-02 00:00:00,3
P0014,2026-01-08 00:00:00,16
P0014,2026-01-29 00:00:00,9
P0014,2026-01-31 00:00:00,6
P0014,2026-02-12 00:00:00,2
P0014,2026-03-02 00:00:00,1
P0014,2026-03-04 00:00:00,2
P0014,2026-03-06 00:00:00,9
P0014,2026-03-24 00:00:00,14
P0014,2026-03-30 00:00:00,8
P0015,2024-04-18 00:00:00,1
P0015,2024-04-29 00:00:00,2
P0015,2024-05-24 00:00:00,2
P0015,2024-06-09 00:00:00,2
P0015,2024-07-20 00:00:00,3
P0015,2024-07-31 00:00:00,2
P0015,2024-08-13 00:00:00,1
P0015,2024-08-15 00:00:00,3
P0015,2024-10-13 00:00:00,3
P0015,2024-11-14 00:00:00,1
P0015,2024-12-03 00:00:00,2
P0015,2025-01-20 00:00:00,3
P0015,2025-02-03 00:00:00,3
P0015,2025-03-10 00:00:00,1
P0015,2025-04-17 00:00:00,2
P0015,2025-04-20 00:00:00,1
P0015,2025-06-19 00:00:00,3
P0015,2025-09-23 00:00:00,1
P0015,2025-12-14 00:00:00,1
P0015,2026-01-23 00:00:00,3
P0016,2024-04-05 00:00:00,4
P0016,2024-05-14 00:00:00,6
P0016,2024-06-13 00:00:00,1
P0016,2024-07-04 00:00:00,1
P0016,2024-08-22 00:00:00,2
P0016,2024-10-02 00:00:00,1
P0016,2024-11-11 00:00:00,3
P0016,2024-11-12 00:00:00,1
P0016,2024-12-18 00:00:00,1
P0016,2025-01-13 00:00:00,5
P0016,2025-01-25 00:00:00,6
P0016,2025-02-21 00:00:00,5
P0016,2025-03-19 00:00:00,2
P0016,2025-04-08 00:00:00,2
P0016,2025-06-29 00:00:00,1
P0016,2025-12-02 00:00:00,1
P0016,2025-12-03 00:00:00,3
P0016,2026-01-05 00:00:00,3
P0016,2026-02-15 00:00:00,4
P0016,2026-03-05 00:00:00,2
P0016,2026-03-26 00:00:00,1
P0017,2024-04-07 00:00:00,3
P0017,2024-04-12 00:00:00,3
P0017,2024-04-15 00:00:00,9
P0017,2024-04-22 00:00:00,7
P0017,2024-05-12 00:00:00,7
P0017,2024-05-19 00:00:00,4
P0017,2024-05-26 00:00:00,1
P0017,2024-05-30 00:00:00,4
P0017,2024-05-31 00:00:00,5
P0017,2024-06-04 00:00:00,3
P0017,2024-06-10 00:00:00,2
P0017,2024-06-22 00:00:00,2
P0017,2024-06-25 00:00:00,2
P0017,2024-06-27 00:00:00,4
P0017,2024-06-30 00:00:00,3
P0017,2024-07-01 00:00:00,4
P0017,2024-07-07 00:00:00,4
P0017,2024-07-08 00:00:00,2
P0017,2024-07-24 00:00:00,2
P0017,2024-07-30 00:00:00,6
P0017,2024-08-03 00:00:00,4
P0017,2024-08-12 00:00:00,13
P0017,2024-08-23 00:00:00,3
P0017,2024-08-27 00:00:00,7
P0017,2024-09-02 00:00:00,4
P0017,2024-09-05 00:00:00,4
P0017,2024-09-07 00:00:00,2
P0017,2024-09-22 00:00:00,5
P0017,2024-09-30 00:00:00,4
P0017,2024-10-02 00:00:00,2
P0017,2024-10-11 00:00:00,1
P0017,2024-10-12 00:00:00,1
P0017,2024-10-13 00:00:00,2
P0017,2024-10-18 00:00:00,4
P0017,2024-10-22 00:00:00,2
P0017,2024-11-03 00:00:00,2
P0017,2024-11-10 00:00:00,3
P0017,2024-11-11 00:00:00,4
P0017,2024-11-15 00:00:00,8
P0017,2024-11-22 00:00:00,3
P0017,2024-12-09 00:00:00,5
P0017,2024-12-15 00:00:00,5
P0017,2024-12-18 00:00:00,4
P0017,2024-12-21 00:00:00,5
P0017,2025-01-17 00:00:00,3
P0017,2025-01-27 00:00:00,5
P0017,2025-01-28 00:00:00,3
P0017,2025-01-29 00:00:00,5
P0017,2025-01-30 00:00:00,5
P0017,2025-02-05 00:00:00,7
P0017,2025-02-07 00:00:00,6
P0017,2025-02-14 00:00:00,2
P0017,2025-02-15 00:00:00,3
P0017,2025-02-16 00:00:00,7
P0017,2025-02-18 00:00:00,11
P0017,2025-03-06 00:00:00,5
P0017,2025-03-07 00:00:00,5
P0017,2025-03-15 00:00:00,4
P0017,2025-03-18 00:00:00,1
P0017,2025-03-19 00:00:00,4
P0017,2025-03-24 00:00:00,1
P0017,2025-03-25 00:00:00,2
P0017,2025-04-06 00:00:00,2
P0017,2025-04-15 00:00:00,5
P0017,2025-04-26 00:00:00,7
P0017,2025-04-30 00:00:00,5
P0017,2025-05-02 00:00:00,5
P0017,2025-05-11 00:00:00,5
P0017,2025-05-18 00:00:00,10
P0017,2025-05-22 00:00:00,4
P0017,2025-05-23 00:00:00,1
P0017,2025-06-09 00:00:00,4
P0017,2025-06-10 00:00:00,2
P0017,2025-06-13 00:00:00,5
P0017,2025-06-15 00:00:00,3
P0017,2025-06-22 00:00:00,4
P0017,2025-07-04 00:00:00,1
P0017,2025-07-08 00:00:00,4
P0017,2025-07-17 00:00:00,3
P0017,2025-07-27 00:00:00,1
P0017,2025-08-02 00:00:00,1
P0017,2025-08-04 00:00:00,2
P0017,2025-08-09 00:00:00,5
P0017,2025-08-23 00:00:00,12
P0017,2025-08-28 00:00:00,7
P0017,2025-08-29 00:00:00,1
P0017,2025-09-02 00:00:00,5
P0017,2025-09-18 00:00:00,2
P0017,2025-09-28 00:00:00,2
P0017,2025-10-04 00:00:00,5
P0017,2025-10-13 00:00:00,4
P0017,2025-10-18 00:00:00,4
P0017,2025-10-23 00:00:00,10
P0017,2025-10-24 00:00:00,9
P0017,2025-10-29 00:00:00,2
P0017,2025-11-14 00:00:00,9
P0017,2025-11-19 00:00:00,13
P0017,2025-11-20 00:00:00,6
P0017,2025-12-01 00:00:00,14
P0017,2025-12-04 00:00:00,2
P0017,2025-12-18 00:00:00,1
P0017,2025-12-19 00:00:00,5
P0017,2025-12-28 00:00:00,8
P0017,2026-01-09 00:00:00,5
P0017,2026-01-12 00:00:00,10
P0017,2026-01-15 00:00:00,4
P0017,2026-01-20 00:00:00,6
P0017,2026-01-29 00:00:00,4
P0017,2026-02-05 00:00:00,1
P0017,2026-02-06 00:00:00,5
P0017,2026-02-11 00:00:00,3
P0017,2026-02-15 00:00:00,3
P0017,2026-02-23 00:00:00,3
P0017,2026-03-06 00:00:00,9
P0017,2026-03-08 00:00:00,10
P0017,2026-03-15 00:00:00,3
P0017,2026-03-18 00:00:00,4
P0017,2026-03-23 00:00:00,7
P0018,2024-04-27 00:00:00,60
P0018,2024-06-20 00:00:00,152
P0018,2024-06-25 00:00:00,84
P0018,2024-07-10 00:00:00,22
P0018,2024-08-01 00:00:00,36
P0018,2024-08-02 00:00:00,78
P0018,2024-08-03 00:00:00,73
P0018,2024-08-05 00:00:00,44
P0018,2024-08-06 00:00:00,15
P0018,2024-08-21 00:00:00,16
P0018,2024-09-03 00:00:00,146
P0018,2024-09-05 00:00:00,95
P0018,2024-09-08 00:00:00,33
P0018,2024-09-11 00:00:00,114
P0018,2024-10-02 00:00:00,146
P0018,2024-10-04 00:00:00,17
P0018,2024-12-26 00:00:00,78
P0018,2025-01-07 00:00:00,43
P0018,2025-01-10 00:00:00,46
P0018,2025-01-15 00:00:00,131
P0018,2025-01-31 00:00:00,75
P0018,2025-02-16 00:00:00,84
P0018,2025-02-20 00:00:00,65
P0018,2025-02-23 00:00:00,155
P0018,2025-02-24 00:00:00,13
P0018,2025-03-13 00:00:00,12
P0018,2025-05-11 00:00:00,6
P0018,2025-06-21 00:00:00,14
P0018,2025-08-09 00:00:00,80
P0018,2025-08-13 00:00:00,172
P0018,2025-08-14 00:00:00,65
P0018,2025-08-28 00:00:00,42
P0018,2025-09-08 00:00:00,75
P0018,2025-09-17 00:00:00,8
P0018,2025-09-18 00:00:00,60
P0018,2025-09-20 00:00:00,42
P0018,2025-09-22 00:00:00,70
P0018,2025-10-01 00:00:00,149
P0018,2025-10-15 00:00:00,191
P0018,2025-11-18 00:00:00,43
P0018,2025-12-03 00:00:00,45
P0018,2026-01-24 00:00:00,87
P0018,2026-01-29 00:00:00,148
P0018,2026-01-30 00:00:00,109
P0018,2026-02-06 00:00:00,18
P0018,2026-02-21 00:00:00,13
P0018,2026-02-24 00:00:00,10
P0018,2026-03-29 00:00:00,129
P0019,2024-04-06 00:00:00,13
P0019,2024-04-16 00:00:00,2
P0019,2024-05-02 00:00:00,1
P0019,2024-05-03 00:00:00,3
P0019,2024-05-11 00:00:00,4
P0019,2024-05-26 00:00:00,5
P0019,2024-06-01 00:00:00,4
P0019,2024-06-13 00:00:00,2
P0019,2024-07-07 00:00:00,1
P0019,2024-07-08 00:00:00,2
P0019,2024-07-19 00:00:00,2
P0019,2024-07-23 00:00:00,1
P0019,2024-07-24 00:00:00,8
P0019,2024-08-22 00:00:00,4
P0019,2024-08-23 00:00:00,1
P0019,2024-08-27 00:00:00,6
P0019,2024-09-09 00:00:00,11
P0019,2024-09-29 00:00:00,4
P0019,2024-10-16 00:00:00,1
P0019,2024-10-28 00:00:00,5
P0019,2024-11-13 00:00:00,2
P0019,2024-11-22 00:00:00,4
P0019,2024-12-03 00:00:00,6
P0019,2024-12-10 00:00:00,3
P0019,2024-12-12 00:00:00,6
P0019,2025-01-09 00:00:00,7
P0019,2025-01-22 00:00:00,8
P0019,2025-01-25 00:00:00,5
P0019,2025-01-27 00:00:00,2
P0019,2025-02-12 00:00:00,1
P0019,2025-02-15 00:00:00,13
P0019,2025-02-16 00:00:00,8
P0019,2025-02-17 00:00:00,1
P0019,2025-03-04 00:00:00,2
P0019,2025-04-06 00:00:00,3
P0019,2025-04-07 00:00:00,3
P0019,2025-04-09 00:00:00,7
P0019,2025-05-18 00:00:00,3
P0019,2025-05-20 00:00:00,13
P0019,2025-05-30 00:00:00,19
P0019,2025-06-01 00:00:00,3
P0019,2025-06-17 00:00:00,14
P0019,2025-07-07 00:00:00,4
P0019,2025-08-20 00:00:00,4
P0019,2025-09-02 00:00:00,5
P0019,2025-09-16 00:00:00,5
P0019,2025-09-25 00:00:00,9
P0019,2025-10-11 00:00:00,11
P0019,2025-10-28 00:00:00,6
P0019,2025-10-29 00:00:00,2
P0019,2025-11-12 00:00:00,7
P0019,2025-11-16 00:00:00,8
P0019,2025-11-23 00:00:00,4
P0019,2025-12-03 00:00:00,6
P0019,2025-12-06 00:00:00,7
P0019,2025-12-09 00:00:00,1
P0019,2026-01-13 00:00:00,7
P0019,2026-01-23 00:00:00,1
P0019,2026-01-25 00:00:00,5
P0019,2026-01-27 00:00:00,8
P0019,2026-02-07 00:00:00,15
P0019,2026-03-06 00:00:00,3
P0019,2026-03-19 00:00:00,13
P0019,2026-03-29 00:00:00,5
P0020,2024-04-01 00:00:00,6
P0020,2024-05-03 00:00:00,34
P0020,2024-05-22 00:00:00,6
P0020,2024-05-28 00:00:00,17
P0020,2024-06-21 00:00:00,16
P0020,2024-06-23 00:00:00,9
P0020,2024-07-20 00:00:00,4
P0020,2024-07-21 00:00:00,10
P0020,2024-07-25 00:00:00,4
P0020,2024-07-28 00:00:00,12
P0020,2024-08-04 00:00:00,17
P0020,2024-08-14 00:00:00,19
P0020,2024-09-01 00:00:00,8
